Molecule,Structure,smiles string,DipoleMoment
"1,1,2,2-tetrafluoroethane",CHF2CHF2,C(C(F)F)(F)F,0.99
bromoform,CHBr3,C(Br)(Br)Br,0.99
Chloroform,CHCl3,C(Cl)(Cl)Cl,1.01
Phosphorus trifluoride,PF3,FP(F)F,1.03
Thio-thionyl fluoride,S2F2,FSSF,1.03
Dimethylamine,CH3NHCH3,CNC,1.03
"Ethane, 1,2-dibromo-",CH2BrCH2Br,C(CBr)Br,1.04
trifluoroiodomethane,CF3I,C(F)(F)(F)I,1.048
sulfur difluoride,SF2,FSF,1.05
Hydrogen chloride,HCl,Cl,1.08
Glycine,H2NCH2COOH,C(C(=O)O)N,1.09
Methyl phosphine,CH3PH2,CP(C)C,1.1
Sulfuryl fluoride,SO2F2,O=S(=O)(F)F,1.12
dichlorosilane,SiH2Cl2,[SiH2](Cl)Cl,1.13
Ethoxy ethane,C4H10O,CCOCC,1.15
1-Propanamine,NH2CH2CH2CH3,CCCN,1.17
"Ethane, methoxy-",CH3OC2H5,CCOC,1.17
Disulfane,H2S2,SS,1.17
Phosgene,CCl2O,C(=O)(Cl)Cl,1.17
2-Propanamine,CH3CH(NH2)CH3,CCCN(CCC)C(C)C,1.19
Cyclopropylamine,C3H7N,C1CC1N,1.19
Divinyl sulfide,CH2CHSCHCH2,C=CSC=C,1.2
Silicon trifluoride radical,SiF3,F[Si](F)F,1.2
di-n-propyl ether,C3H7OC3H7,CCOCCC,1.21
Ethylamine,CH3CH2NH2,CCN,1.22
phenol,C6H5OH,C1=CC=C(C=C1)O,1.22
Silicon difluoride,SiF2,F[Si]F,1.23
dimethylphosphine,CH3PHCH3,CPC,1.23
Monochlorine monoxide,ClO,[O]Cl,1.239
Anisole,C6H5OCH3,COC1=CC=CC=C1,1.26
Boron monohydride,BH,[BH],1.27
fluorodichloromethane,CHFCl2,C(F)(Cl)Cl,1.29
Methane selenol,CH3SeH,C[Se],1.291
monofluorosilane,SiH3F,F[SiH3],1.297
hydrogen boron sulfide,HBS,B=S,1.298
Dimethyl ether,CH3OCH3,COC,1.3
Sulfur monoxide,SO,O=S,1.31
chlorosilane,SiH3Cl,[SiH3]Cl,1.31
methyl amine,CH3NH2,CN,1.31
bromosilane,SiH3Br,[SiH3]Br,1.319
"Furan, 2,5-dihydro-",C4H6O,C1C=CCO1,1.32
"Acetonitrile, trifluoro-",CF3CN,C(#N)C(F)(F)F,1.33
"Ethene, 1,1-dichloro-",CH2CCl2,C=C(Cl)Cl,1.34
"Ethene, 1,1-difluoro-",CH2CF2,C=C(F)F,1.38
Hypobromous acid,HOBr,OBr,1.384
Trifluoroethylene,C2HF3,C(=C(F)F)F,1.4
Formic acid,HCOOH,C(=O)O,1.41
dimethylselenide,CH3SeCH3,C[Se]C,1.41
Ketene,CH2CO,C=C=O,1.42
vinyl bromide,C2H3Br,C=CBr,1.42
Bromine monofluoride,BrF,FBr,1.422
"Ethene, fluoro-",CH2CHF,C=CF,1.43
dibromomethane,CH2Br2,C(Br)Br,1.43
Ethenimine,H2CCNH,C=C=N,1.44
Ethanol,CH3CH2OH,CCO,1.44
Perfluoroperoxide,FOOF,O(OF)F,1.44
"Ethene, chloro-",CH2CHCl,C=CCl,1.45
Cyano radical,CN,[C-]#N,1.45
Difluorodisulfane,FSSF,FSSF,1.45
thionyl chloride,SOCl2,O=S(Cl)Cl,1.45
"1,1,1,2-tetrafluorochloroethane",CF3CHFCl,C(C(F)(F)F)(F)Cl,1.47
Disulfur monoxide,SSO,O=S=S,1.47
Ammonia,NH3,N,1.47
"1,1,2-trichloroethane",CH2ClCHCl2,C(C(Cl)Cl)Cl,1.5
Oxazole,C3H3NO,C1=COC=N1,1.5
diazomethane,CH2NN,C=[N+]=[N-],1.5
"Methane, bromodifluoro-",CHBrF2,C(F)(F)Br,1.5
fluorochlorobromomethane,CHFClBr,C(F)(Cl)Br,1.5
Dimethyl sulfide,CH3SCH3,CSC,1.5
hypochlorous acid,HOCl,OCl,1.507
ethanethiol,CH3CH2SH,CCS,1.52
Selenium monofluoride,SeF,F[Se],1.52
Methanethiol,CH3SH,CS,1.52
aniline,C6H5NH2,C1=CC=C(C=C1)N,1.53
Aluminum monofluoride,AlF,F[Al],1.53
N-methylmethanimine,CH2NCH3,CN=C,1.53
