Molecule,Structure,smiles string,DipoleMoment
carbon monosulfide,CS,[C-]#[S+],1.98
peroxy nitric acid,HOONO2,OO[N+]([O-])=O,1.987
Ammonia Dimer,NH3NH3,N.N,1.99
Methanimine,CH2NH,C=N,2
Thiohydroxylamine,NH2SH,C=NO,2.005
Selenium monoxide,SeO,O=[Se],2.01
Methyl nitrite,CH3ONO,CON=O,2.05
"1,3,5-Trioxane",C3H6O3,O1COCOC1,2.08
formyl fluoride,HFCO,C(=O)F,2.081
Dinitrogen trioxide,N2O3,N(=O)[N+](=O)[O-],2.122
pentaborane9,B5H9,[BH3-]BBB[BH3-],2.13
Cyanogen fluoride,FCN,C(#N)F,2.17
Nitric acid,HNO3,[N+](=O)(O)[O-],2.17
Hypofluorous acid,HOF,OF,2.23
monofluoroamine,NH2F,NF,2.27
Formaldehyde,H2CO,C=O,2.33
Phosphoryl chloride,Cl3PO,O=P(Cl)(Cl)Cl,2.4
Gallium monofluoride,GaF,F[Ga],2.45
Dioxirane,CH2O2,C1OO1,2.48
Arsenic trifluoride,AsF3,F[As](F)F,2.59
Germanium difluoride,GeF2,F[Ge]F,2.61
Selenium dioxide,SeO2,O=[Se]=O,2.62
Sodium Potassium,NaK,[Na].[K],2.667
Sulfuric acid,H2SO4,OS(=O)(=O)O,2.725
Phosphorus mononitride,PN,N#P,2.751
chlorocyanogen,ClCN,C(#N)Cl,2.82
Argon hydride cation,ArH+,[ArH+],2.84
Hydrogen cyanide,HCN,[NH+]#[C-],2.98
hydrogen isocyanide,HNC,[NH+]#[C-],3.05
fulminic acid,HCNO,C#[N+][O-],3.06
Methyl nitrate,CH3NO3,CO[N+](=O)[O-],3.081
"Sulfurous acid, dimethyl ester",C2H6O3S,COS(=O)OC,3.09
Silicon monoxide,SiO,O=[Si],3.098
Germanium monoxide,GeO,O=[Ge],3.28
Lithium Potassium,LiK,[Li].[K],3.45
"Methane, nitro-",CH3NO2,C[N+](=O)[O-],3.46
formamide,CHONH2,C(=O)N,3.73
dimethylformamide,C3H7NO,CN(C)C=O,3.82
Urea,NH2CONH2,C(=O)(N)N,3.83
methyl isocyanide,CH3NC,CN=C=O,3.85
Dimethyl sulfoxide,CH3SOCH3,CS(=O)C,3.96
borane phosphine,BH3PH3,[BH3-][PH3+],4
